cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://tobaccolocker.com/collections/general/products/hoyo-de-monterrey-excalibur-epicures-natural-cigar?variant=44034520219822,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.25x50,20,135.35,True
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://tobaccolocker.com/products/ashton-vsg-robusto-cigars-box-of-24?variant=44034447769774,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,338.0,True
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://tobaccolocker.com/products/my-father-the-judge-grand-robusto?variant=44025912000686,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,274.95,True
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://tobaccolocker.com/products/padron-1964-diplomatico-maduro-cigars-box-of-25?variant=44022962913454,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,455.0,True
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://tobaccolocker.com/products/perdomo-reserve-10-year-anniversary-epicure-champ4?variant=44026060636334,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,241.89,True
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://tobaccolocker.com/products/olmec-maduro-toro-cigars?variant=43979143807150,Foundation,Olmec,Maduro,Toro,6x52,12,160.92,True
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://tobaccolocker.com/products/padron-1964-exclusivo-maduro-cigars?variant=44022962815150,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,397.5,True
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://tobaccolocker.com/products/padron-1964-principe-natural-cigars?variant=44022961045678,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,340.0,True
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://tobaccolocker.com/products/padron-1964-principe-maduro-cigars-box-of-25?variant=44022961078446,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,340.0,True
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,,https://tobaccolocker.com/products/arturo-fuente-hemingway-signature-cigars-box-of-25?variant=44022943154350
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,,https://tobaccolocker.com/products/arturo-fuente-hemingway-short-story-cigars-box-of?variant=44022943252654
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,,https://tobaccolocker.com/products/arturo-fuente-short-story-maduro-cigars?variant=44022943219886
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,,https://tobaccolocker.com/products/arturo-fuente-hemingway-work-of-art-cigars?variant=44022943449262
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,,https://tobaccolocker.com/products/arturo-fuente-hemingway-work-of-art-maduro-cig-box?variant=44022943416494
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,,https://tobaccolocker.com/products/arturo-fuente-hemingway-between-the-lines-cigars?variant=44022943285422
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,,https://tobaccolocker.com/products/arturo-fuente-hemingway-best-seller-cigars?variant=43601825366190
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.4|PERFECXIONNO.4|5.1875x43|DOM|BOX42
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29
ARTUROFUENTE|ARTUROFUENTE|OPUSX|BELICOSOXXX|BELICOSOXXX|4.625x49|DOM|BOX42
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.5|PERFECXIONNO.5|4.875x40|DOM|BOX42
