cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,Lonsdale Deluxe,https://www.cigarsdirect.com/collections/herrera-esteli-by-drew-estate-norteno/products/herrera-esteli-by-drew-estate-norteno-lonsdale?variant=31084935413857,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.25x44,25,246.38,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,Best Seller,https://www.cigarsdirect.com/collections/arturo-fuente-hemingway/products/arturo-fuente-hemingway-best-seller-maduro,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,280.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-signature?variant=31070088986721,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,259.88,False,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.cigarsdirect.com/products/ashton-vsg-robusto?variant=38194489262257,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,345.6,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.cigarsdirect.com/products/padron-1964-anniversary-exclusivo-natural?variant=19713316323425,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,410.0,False,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.cigarsdirect.com/products/padron-1964-anniversary-exclusivo-maduro?variant=19713316257889,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,410.0,False,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://www.cigarsdirect.com/products/padron-1964-anniversary-principe-natural?variant=19713318289505,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,351.25,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.cigarsdirect.com/products/padron-1964-anniversary-principe-maduro?variant=19713318158433,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,351.25,True,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|NAT|BOX25,Corona,https://www.cigarsdirect.com/products/padron-1964-anniversary-corona-natural?variant=19713315864673,Padron,1964 Anniversary,Natural,Corona,6x42,25,372.5,False,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|MAD|BOX25,Corona,https://www.cigarsdirect.com/products/padron-1964-anniversary-corona-maduro?_pos=1&_sid=24119eb13&_ss=r,Padron,1964 Anniversary,Maduro,Corona,6x42,25,372.5,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-classic?variant=31060856832097,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,283.5,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-short-story?variant=31070095179873,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,169.43,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-work-of-art?_pos=1&_sid=df24369f0&_ss=r&variant=31070115299425,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,306.75,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-work-of-art-maduro?_pos=3&_sid=df24369f0&_ss=r&variant=31070126768225,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,306.63,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-between-the-lines?variant=29926231638113,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,650.0,False,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://www.cigarsdirect.com/products/ashton-vsg-enchantment?variant=38194487689393,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,351.45,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://www.cigarsdirect.com/products/ashton-vsg-spellbound?variant=38194491195569,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,428.76,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://www.cigarsdirect.com/products/ashton-vsg-wizard?variant=38194493161649,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,632.7,True,
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,Belicoso No. 1,https://www.cigarsdirect.com/products/ashton-vsg-belicoso-1?variant=38194486476977,Ashton,VSG,Ecuadorian Sun Grown,Belicoso No. 1,5.5x52,24,351.0,False,
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,Illusion,https://www.cigarsdirect.com/products/ashton-vsg-illusion?variant=38194487951537,Ashton,VSG,Ecuadorian Sun Grown,Illusion,6x54,24,342.36,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.4|PERFECXIONNO.4|5.1875x43|DOM|BOX42,PerfecXion No. 4,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-no-4?variant=19712416252001,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 4,5.1875x43,42,1999.99,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,Super Belicoso,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-super-belicoso?variant=19712418578529,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,29,1749.99,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|BELICOSOXXX|BELICOSOXXX|4.625x49|DOM|BOX42,Belicoso XXX,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-belicoso-xxx?variant=19713544028257,Arturo Fuente,Opus X,Dominican Rosado,Belicoso XXX,4.625x49,42,1999.99,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.5|PERFECXIONNO.5|4.875x40|DOM|BOX42,PerfecXion No. 5,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-no-5?variant=19712416448609,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 5,4.875x40,42,1849.99,False,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,Robusto,https://www.cigarsdirect.com/products/drew-estate-liga-privada-no-9-robusto,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Robusto,5x54,24,407.0,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONAVIVA|CORONAVIVA|6x46|CON|BOX24,Corona Viva,https://www.cigarsdirect.com/products/drew-estate-liga-privada-no-9-corona-viva?variant=31082627563617,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Corona Viva,6x46,24,384.2,False,
MONTECRISTO|MONTECRISTO|1935ANNIVERSARYNICARAGUA|DEMI|DEMI|5x50|NIC|BOX20,Demi,https://www.cigarsdirect.com/products/montecristo-1935-anniversary-demi?variant=37896646426801,Montecristo,1935 Anniversary Nicaragua,Nicaraguan Habano,Demi,5x50,20,279.0,False,
OLIVA|OLIVA|SERIEV|ROBUSTO|ROBUSTO|5x54|ECU|BOX24,Robusto,https://www.cigarsdirect.com/products/oliva-serie-v-double-robusto?variant=19713301905505,Oliva,Serie V,Ecuadorian Habano,Robusto,5x54,24,248.2,False,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://www.cigarsdirect.com/products/oliva-serie-v-torpedo?variant=19713302888545,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,296.0,False,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,Robusto,https://www.cigarsdirect.com/products/rocky-patel-vintage-1990-robusto?variant=31119441723489,Rocky Patel,Vintage 1990,Honduran Broadleaf,Robusto,5x50,20,205.2,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORO|TORO|6x52|HON|BOX20,Toro,https://www.cigarsdirect.com/products/rocky-patel-vintage-1990-toro?variant=31119441592417,Rocky Patel,Vintage 1990,Honduran Broadleaf,Toro,6x52,20,216.9,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORPEDO|TORPEDO|6.5x52|HON|BOX20,Torpedo,https://www.cigarsdirect.com/products/rocky-patel-vintage-1990-torpedo?variant=31119441395809,Rocky Patel,Vintage 1990,Honduran Broadleaf,Torpedo,6.5x52,20,223.2,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|CHURCHILL|CHURCHILL|7x48|HON|BOX20,Churchill,https://www.cigarsdirect.com/products/rocky-patel-vintage-1990-churchill?variant=31119441952865,Rocky Patel,Vintage 1990,Honduran Broadleaf,Churchill,7x48,20,216.9,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,Robusto,https://www.cigarsdirect.com/products/rocky-patel-vintage-1992-robusto?variant=31119441264737,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Robusto,5x50,20,205.2,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORO|TORO|6x52|ECU|BOX20,Toro,https://www.cigarsdirect.com/products/rocky-patel-vintage-1992-toro?variant=31119441199201,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Toro,6x52,20,216.9,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORPEDO|TORPEDO|6.5x52|ECU|BOX20,Torpedo,https://www.cigarsdirect.com/products/rocky-patel-vintage-1992-torpedo?variant=31119441133665,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Torpedo,6.5x52,20,223.2,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|CHURCHILL|CHURCHILL|7x48|ECU|BOX20,Churchill,https://www.cigarsdirect.com/products/rocky-patel-vintage-1992-churchill?variant=31119441363041,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Churchill,7x48,20,216.9,True,
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,Hyde Park,https://www.cigarsdirect.com/products/macanudo-cafe-hyde-park?variant=19713664417889,Macanudo,Cafe,Connecticut Shade,Hyde Park,5.5x49,25,268.8,True,
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,Baron de Rothschild,https://www.cigarsdirect.com/products/macanudo-cafe-baron-de-rothschild?variant=19713662156897,Macanudo,Cafe,Connecticut Shade,Baron de Rothschild,6.5x42,25,271.2,False,
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,V554 Camshaft,https://www.cigarsdirect.com/products/cao-flathead-v554-camshaft?variant=31775352684641,CAO,Flathead,Connecticut Broadleaf,V554 Camshaft,5.5x54,24,221.57,True,
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,V660 Carb,https://www.cigarsdirect.com/products/cao-flathead-v660-carb?variant=31775352881249,CAO,Flathead,Connecticut Broadleaf,V660 Carb,6x60,24,269.78,True,
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,V770 Big Block,https://www.cigarsdirect.com/products/cao-flathead-v770-big-block?variant=31775353012321,CAO,Flathead,Connecticut Broadleaf,V770 Big Block,7x70,24,297.86,False,
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,V450 Sparkplug,https://www.cigarsdirect.com/products/cao-flathead-v450-sparkplug?variant=31775352389729,CAO,Flathead,Connecticut Broadleaf,V450 Sparkplug,4.5x50,24,204.95,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONAVIVA|CORONAVIVA|5.625x46|SAN|BOX25,Corona Viva,https://www.cigarsdirect.com/products/drew-estate-undercrown-maduro-corona-viva?variant=31119100772449,Drew Estate,Undercrown Maduro,San Andres,Corona Viva,5.625x46,25,198.9,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,Robusto,https://www.cigarsdirect.com/products/drew-estate-undercrown-maduro-robusto?variant=31119097790561,Drew Estate,Undercrown Maduro,San Andres,Robusto,5x54,25,209.1,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,Gran Toro,https://www.cigarsdirect.com/products/drew-estate-undercrown-maduro-gran-toro?variant=31119098970209,Drew Estate,Undercrown Maduro,San Andres,Gran Toro,6x52,25,225.5,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GORDITO|GORDITO|6x60|SAN|BOX25,Gordito,https://www.cigarsdirect.com/products/drew-estate-undercrown-maduro-gordito?variant=31119100051553,Drew Estate,Undercrown Maduro,San Andres,Gordito,6x60,25,270.6,True,
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,Robusto,https://www.cigarsdirect.com/products/oliva-serie-g-cameroon-robusto?variant=42934048293041,Oliva,Serie G,Cameroon,Robusto,4.5x50,25,174.66,True,
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,Toro,https://www.cigarsdirect.com/products/oliva-serie-g-cameroon-toro?variant=19713298432097,Oliva,Serie G,Cameroon,Toro,6x50,25,182.02,False,
CROWNEDHEADS|JERICHOHILL|JERICHOHILL|OBS|OBS|4.75x52|MAD|BOX24,OBS,https://www.cigarsdirect.com/products/crowned-heads-jericho-hill-obs?variant=31874044919905,Crowned Heads,Jericho Hill,Maduro,OBS,4.75x52,24,214.92,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-robusto?variant=19712418119777,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,1649.99,False,
AGINGROOM|AGINGROOM|QUATTRONICARAGUA|MAESTRO|MAESTRO|6x50|NIC|BOX20,Maestro,https://www.cigarsdirect.com/products/aging-room-quattro-nicaragua-maestro-torpedo?variant=31568171040865,Aging Room,Quattro Nicaragua,Nicaraguan Habano,Maestro,6x50,20,248.18,True,
PADRON|PADRON|1926SERIE|NO.6|NO.6|4.75x50|MAD|BOX24,No. 6,https://www.cigarsdirect.com/products/padron-1926-anniversary-no-6-maduro?variant=19713314652257,Padron,1926 Serie,Maduro,No. 6,4.75x50,24,442.8,True,
PADRON|PADRON|1926SERIE|NO.6|NO.6|4.75x50|NAT|BOX24,No. 6,https://www.cigarsdirect.com/products/padron-1926-anniversary-no-6-natural?variant=19713314848865,Padron,1926 Serie,Natural,No. 6,4.75x50,24,442.8,True,
PADRON|PADRON|1926SERIE|NO.2BELICOSO|NO.2BELICOSO|5.25x52|MAD|BOX24,No. 2 Belicoso,https://www.cigarsdirect.com/products/padron-1926-anniversary-no-2-maduro?variant=19713313701985,Padron,1926 Serie,Maduro,No. 2 Belicoso,5.25x52,24,538.8,True,
PADRON|PADRON|1926SERIE|NO.2BELICOSO|NO.2BELICOSO|5.25x52|NAT|BOX24,No. 2 Belicoso,https://www.cigarsdirect.com/products/padron-1926-anniversary-no-2-natural?variant=19713313898593,Padron,1926 Serie,Natural,No. 2 Belicoso,5.25x52,24,538.8,True,
PADRON|PADRON|1964ANNIVERSARY|TORPEDO|TORPEDO|6x52|MAD|BOX20,Torpedo,https://www.cigarsdirect.com/products/padron-1964-anniversary-torpedo-maduro?variant=19713318944865,Padron,1964 Anniversary,Maduro,Torpedo,6x52,20,423.0,True,
PADRON|PADRON|1964ANNIVERSARY|TORPEDO|TORPEDO|6x52|CAM|BOX20,Torpedo,https://www.cigarsdirect.com/products/padron-1964-anniversary-torpedo-natural?variant=19713319993441,Padron,1964 Anniversary,Natural,Torpedo,6x52,20,423.0,True,
PADRON|PADRON|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|MAD|BOX25,Imperial,https://www.cigarsdirect.com/products/padron-1964-anniversary-imperial-maduro?variant=19713316487265,Padron,1964 Anniversary,Maduro,Imperial,6x54,25,503.75,True,
PADRON|PADRON|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|NAT|BOX25,Imperial,https://www.cigarsdirect.com/products/padron-1964-anniversary-imperial-natural?variant=19713316618337,Padron,1964 Anniversary,Natural,Imperial,6x54,25,503.75,True,
PADRON|PADRON|1964ANNIVERSARY|MONARCA|MONARCA|6.5x46|MAD|BOX25,Monarca,https://www.cigarsdirect.com/products/padron-1964-anniversary-monarcas-maduro?variant=19713316716641,Padron,1964 Anniversary,Maduro,Monarca,6.5x46,25,408.75,True,
PADRON|PADRON|1964ANNIVERSARY|MONARCA|MONARCA|6.5x46|NAT|BOX25,Monarca,https://www.cigarsdirect.com/products/padron-1964-anniversary-monarcas-natural?variant=19713316847713,Padron,1964 Anniversary,Natural,Monarca,6.5x46,25,408.75,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|CHURCHILL|CHURCHILL|7x54|ECU|BOX25,Churchill,https://www.cigarsdirect.com/products/perdomo-reserve-10th-anniversary-champagne-churchill,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Churchill,7x54,25,275.63,False,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|CORONA|CORONA|5.5x42|ECU|BOX25,Corona,https://www.cigarsdirect.com/products/perdomo-reserve-10th-anniversary-champagne-corona-extra,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Corona,5.5x42,25,241.88,True,
MYFATHER|MYFATHER|BLUE|ROBUSTO|ROBUSTO|5.25x54|CON|BOX20,Robusto,https://www.cigarsdirect.com/products/my-father-cigars-blue-robusto,My Father,Blue,Connecticut Broadleaf Rosado,Robusto,5.25x54,20,190.8,False,
ALECBRADLEY|ALECBRADLEY|AMERICANCLASSICBLEND|GORDO|GORDO|6x60|ECU|BOX24,Gordo,https://www.cigarsdirect.com/products/alec-bradley-american-classic-blend-gordo,Alec Bradley,American Classic Blend,Ecuadorian Connecticut,Gordo,6x60,24,192.67,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSXLOSTCITY|ROBUSTO|ROBUSTO|5x50|DOM|BOX10,Robusto,https://www.cigarsdirect.com/products/arturo-fuente-lost-city-robusto,Arturo Fuente,Opus X Lost City,Dominican Rosado,Robusto,5x50,10,378.0,False,
MYFATHER|MYFATHER|NO.4|LANCERO|LANCERO|7.5x38|NIC|BOX20,Lancero,https://www.cigarsdirect.com/products/my-father-cigars-my-father-no-4-lancero,My Father,No. 4,Nicaraguan Habano,Lancero,7.5x38,20,289.8,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONA|PERFECXIONA|9.125x47|DOM|BOX29,PerfecXion A,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-no-2,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion A,9.125x47,29,1949.99,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONA|PERFECXIONA|9.125x47|DOM|BOX24,PerfecXion A,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-8-8-8,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion A,9.125x47,24,1379.99,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONA|PERFECXIONA|9.125x47|DOM|BOX36,PerfecXion A,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-77-shark,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion A,9.125x47,36,2399.99,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSXANGEL'SSHARE|RESERVAD'CHATEAU|RESERVAD'CHATEAU|7x48|DOM|BOX32,Reserva d'Chateau,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-angels-share-reserva-dchateau,Arturo Fuente,Opus X Angel's Share,Dominican Rosado,Reserva d'Chateau,7x48,32,2200.0,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSXANGEL'SSHARE|ROBUSTO|ROBUSTO|5.25x52|DOM|BOX29,Robusto,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-angels-share-robusto,Arturo Fuente,Opus X Angel's Share,Dominican Rosado,Robusto,5.25x52,29,1749.0,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSXLOSTCITY|PIRAMIDE|PIRAMIDE|6.5x52|DOM|BOX10,Piramide,https://www.cigarsdirect.com/products/arturo-fuente-lost-city-piramide,Arturo Fuente,Opus X Lost City,Dominican Rosado,Piramide,6.5x52,10,446.99,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONA|PERFECXIONA|9.125x47|DOM|BOX42,PerfecXion A,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-no-5,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion A,9.125x47,42,1849.99,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSXTOYMAKERFORBIDDENX|PERFECXIONX|PERFECXIONX|6.25x48|DOM|BOX5,PerfecXion X,https://www.cigarsdirect.com/products/opus-x-toymaker-forbidden-x-2021-perfecxion-x,Arturo Fuente,Opus X ToyMaker Forbidden X,Dominican Rosado,PerfecXion X,6.25x48,5,350.0,False,
MYFATHER|MYFATHER|BLUE|PETITROBUSTO|PETITROBUSTO|4.5x50|CON|BOX20,Petit Robusto,https://www.cigarsdirect.com/products/my-father-cigars-blue-petit-robusto,My Father,Blue,Connecticut Broadleaf Rosado,Petit Robusto,4.5x50,20,163.8,False,
MYFATHER|MYFATHER|CONNECTICUT|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,Robusto,https://www.cigarsdirect.com/products/my-father-cigars-connecticut-robusto,My Father,Connecticut,Ecuadorian Connecticut Shade,Robusto,5x50,20,173.7,True,
MYFATHER|MYFATHER|NO.2|BELICOSO|BELICOSO|5.625x55|NIC|BOX20,Belicoso,https://www.cigarsdirect.com/products/my-father-cigars-my-father-no-2-belicoso,My Father,No. 2,Nicaraguan Habano,Belicoso,5.625x55,20,223.2,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|MASTERPIECE|MASTERPIECE|9x52|MAD|BOX10,Masterpiece,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-masterpiece-maduro,Arturo Fuente,Hemingway,Maduro,Masterpiece,9x52,10,210.65,False,
ASHTON|ASHTON|CLASSIC|CHURCHILL|CHURCHILL|7.5x52|CT|BOX25,Churchill,https://www.cigarsdirect.com/products/ashton-classic-churchill,Ashton,Classic,Connecticut Shade,Churchill,7.5x52,25,331.88,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONA|PERFECXIONA|9.125x47|DOM|BOX20,PerfecXion A,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-a,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion A,9.125x47,20,2299.99,False,
